Umur,Kelas Pekerja,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,target
32,Wiraswasta,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
23,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
29,Wiraswasta,D3,12,Menikah,Sales,Perempuan,0.0,0.0,45.0,1
40,Wiraswasta,SMA,9,Berpisah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
34,Wiraswasta,Sekolah Professional,15,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,0
44,Wiraswasta,7th-8th,4,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,35.0,0
59,Wiraswasta,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,58.0,1
33,Wiraswasta,1st-4th,2,Menikah LDR,Asisten Rumah Tangga,Perempuan,0.0,0.0,40.0,0
35,Wiraswasta,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,1
22,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,35.0,0
40,Wiraswasta,Pendidikan Tinggi,10,Cerai,Pembersih,Laki2,0.0,0.0,40.0,0
25,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,0
19,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,26.0,0
19,Pemerintah Negara,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,26.0,0
31,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
24,Wiraswasta,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
44,Wiraswasta,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
42,Pemerintah Provinsi,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
33,Wiraswasta,Sarjana,13,Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
47,Pekerja Bebas Bukan Perusahan,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,30.0,0
66,Pekerja Bebas Bukan Perusahan,Doktor,16,Menikah,Sales,Laki2,0.0,0.0,26.0,1
43,Wiraswasta,SMA,9,Menikah,Supir,Laki2,0.0,0.0,30.0,0
37,Wiraswasta,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0.0,0.0,40.0,1
79,Pekerja Bebas Bukan Perusahan,7th-8th,4,Menikah,Petani,Laki2,0.0,0.0,26.0,0
29,Wiraswasta,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
27,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Tech-support,Laki2,0.0,0.0,45.0,0
25,Pemerintah Negara,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
35,Pekerja Bebas Bukan Perusahan,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,0
51,Wiraswasta,SMA,9,Menikah,Pemuka Agama,Perempuan,0.0,0.0,38.0,0
36,Pemerintah Provinsi,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
32,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,45.0,0
55,Wiraswasta,SMA,9,Menikah,Servis Lainnya,Perempuan,0.0,0.0,33.0,0
46,Wiraswasta,SMA,9,Cerai,Spesialis,Perempuan,0.0,0.0,40.0,0
49,Wiraswasta,Pendidikan Tinggi,10,Cerai,Tech-support,Laki2,0.0,0.0,40.0,0
29,Wiraswasta,SMA,9,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,35.0,0
68,Wiraswasta,5th-6th,3,Menikah LDR,Sales,Laki2,0.0,0.0,26.0,0
58,Wiraswasta,10th,6,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,0
61,Wiraswasta,7th-8th,4,Janda,Servis Lainnya,Perempuan,0.0,0.0,38.0,0
56,Wiraswasta,Master,14,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,50.0,0
45,Wiraswasta,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,38.0,1
21,,Pendidikan Tinggi,10,Belum Pernah Menikah,,Perempuan,0.0,0.0,40.0,0
37,Wiraswasta,Sarjana,13,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,37.0,1
17,Wiraswasta,10th,6,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,26.0,0
18,Wiraswasta,11th,7,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,26.0,0
29,Wiraswasta,Sarjana,13,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,1
24,Wiraswasta,11th,7,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
40,Wiraswasta,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,0
74,Wiraswasta,SMA,9,Janda,Pemuka Agama,Laki2,0.0,0.0,35.0,1
23,Wiraswasta,9th,5,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,30.0,0
51,Wiraswasta,D4,11,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,0
22,Wiraswasta,SMA,9,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
32,Wiraswasta,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
30,Wiraswasta,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,44.0,0
41,Pemerintah Negara,D3,12,Menikah,Penjaga,Laki2,0.0,0.0,40.0,0
47,Pemerintah Lokal,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,0
37,Pemerintah Provinsi,Doktor,16,Menikah,Spesialis,Laki2,0.0,0.0,58.0,1
23,Wiraswasta,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,32.0,0
28,Pemerintah Lokal,Master,14,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,1
45,Wiraswasta,D4,11,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,44.0,0
32,Wiraswasta,D4,11,Cerai,Sales,Laki2,0.0,0.0,50.0,1
31,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
28,Wiraswasta,Master,14,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,42.0,0
57,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
49,Wiraswasta,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0.0,0.0,40.0,1
57,Pemerintah Lokal,Master,14,Menikah,Spesialis,Perempuan,0.0,0.0,40.0,1
52,Pemerintah Lokal,SMA,9,Janda,Servis Lainnya,Perempuan,0.0,0.0,26.0,0
74,,SMA,9,Menikah,,Laki2,0.0,0.0,26.0,0
19,Pemerintah Negara,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
33,Wiraswasta,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
38,Pekerja Bebas Perusahaan,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,40.0,1
20,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,40.0,0
18,Wiraswasta,12th,8,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,26.0,0
60,,SMA,9,Menikah,,Laki2,0.0,0.0,32.0,0
61,Wiraswasta,SD,1,Berpisah,Supir,Laki2,0.0,0.0,40.0,1
46,Wiraswasta,Sarjana,13,Berpisah,Spesialis,Perempuan,0.0,0.0,36.0,0
41,Pemerintah Provinsi,Pendidikan Tinggi,10,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,40.0,0
51,Wiraswasta,9th,5,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,1
23,Wiraswasta,D4,11,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
51,Pemerintah Lokal,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
58,Wiraswasta,Sarjana,13,Cerai,Perbaikan Kerajinan,Perempuan,0.0,0.0,26.0,0
42,Pemerintah Lokal,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
62,Wiraswasta,9th,5,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,0
43,Wiraswasta,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Laki2,0.0,0.0,48.0,0
39,Wiraswasta,SMA,9,Berpisah,Ekesekutif Managerial,Laki2,0.0,0.0,58.0,0
35,Wiraswasta,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
34,Wiraswasta,SMA,9,Menikah,Supir,Laki2,0.0,0.0,40.0,0
46,Wiraswasta,SMA,9,Menikah,Sales,Laki2,0.0,0.0,45.0,0
33,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Pembersih,Perempuan,0.0,0.0,40.0,0
50,Wiraswasta,1st-4th,2,Menikah,Petani,Laki2,0.0,0.0,40.0,0
47,Pemerintah Lokal,11th,7,Cerai,Servis Lainnya,Laki2,0.0,0.0,40.0,0
57,Pekerja Bebas Bukan Perusahan,SMA,9,Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,1
20,Wiraswasta,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
36,Pemerintah Lokal,Pendidikan Tinggi,10,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,56.0,0
40,Pekerja Bebas Bukan Perusahan,Sekolah Professional,15,Menikah,Spesialis,Perempuan,0.0,0.0,40.0,1
20,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0.0,0.0,40.0,0
30,Wiraswasta,SMA,9,Belum Pernah Menikah,Pembersih,Perempuan,0.0,0.0,40.0,1
36,Pemerintah Provinsi,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,0
58,Wiraswasta,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
34,Wiraswasta,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,1
34,Wiraswasta,D4,11,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,0
17,Wiraswasta,11th,7,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,26.0,0
70,Pekerja Bebas Perusahaan,Sarjana,13,Janda,Petani,Perempuan,0.0,0.0,26.0,0
56,Wiraswasta,SMA,9,Janda,Mesin Inspeksi,Perempuan,0.0,0.0,40.0,0
60,,SMA,9,Janda,,Laki2,0.0,0.0,35.0,0
63,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,0
46,Wiraswasta,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
42,Wiraswasta,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,58.0,1
32,Wiraswasta,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,44.0,1
24,Pekerja Bebas Bukan Perusahan,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
28,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,40.0,0
21,,11th,7,Belum Pernah Menikah,,Laki2,0.0,0.0,26.0,0
34,Wiraswasta,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,1
33,Wiraswasta,Sarjana,13,Menikah,Petani,Laki2,0.0,0.0,40.0,0
63,Pekerja Bebas Bukan Perusahan,5th-6th,3,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,26.0,0
45,Pemerintah Lokal,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,1
25,Wiraswasta,D3,12,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,38.0,0
55,Pekerja Bebas Perusahaan,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,40.0,0
35,Wiraswasta,11th,7,Berpisah,Supir,Laki2,0.0,0.0,40.0,0
79,,1st-4th,2,Janda,,Perempuan,0.0,0.0,40.0,0
37,Pekerja Bebas Bukan Perusahan,Pendidikan Tinggi,10,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,0
26,Wiraswasta,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,0
43,Pekerja Bebas Perusahaan,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,1
38,Wiraswasta,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,48.0,1
44,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
53,Pemerintah Lokal,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,0
37,Wiraswasta,Master,14,Menikah,Sales,Laki2,0.0,0.0,50.0,1
27,Pekerja Bebas Perusahaan,12th,8,Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,1
25,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
44,Wiraswasta,SMA,9,Menikah LDR,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
18,Wiraswasta,12th,8,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,26.0,0
25,Wiraswasta,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,30.0,0
24,Wiraswasta,D4,11,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
46,Wiraswasta,5th-6th,3,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
46,Wiraswasta,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,58.0,1
40,Wiraswasta,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,44.0,1
42,Pemerintah Lokal,Master,14,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
48,Wiraswasta,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
53,Pekerja Bebas Bukan Perusahan,Pendidikan Tinggi,10,Menikah,Petani,Laki2,0.0,0.0,30.0,0
79,Wiraswasta,Pendidikan Tinggi,10,Berpisah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
19,,Pendidikan Tinggi,10,Belum Pernah Menikah,,Laki2,0.0,0.0,40.0,0
47,Pemerintah Lokal,D4,11,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,1
44,Wiraswasta,Doktor,16,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,1
27,Wiraswasta,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,50.0,0
41,Wiraswasta,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
53,Wiraswasta,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,58.0,1
41,Wiraswasta,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,1
26,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
36,,Pendidikan Tinggi,10,Belum Pernah Menikah,,Laki2,0.0,0.0,30.0,0
31,Wiraswasta,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0.0,0.0,45.0,0
18,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,26.0,0
31,Wiraswasta,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,55.0,1
64,Wiraswasta,Sarjana,13,Janda,Spesialis,Perempuan,0.0,0.0,30.0,0
29,Wiraswasta,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,48.0,0
44,Pekerja Bebas Bukan Perusahan,SMA,9,Menikah,Mesin Inspeksi,Perempuan,0.0,0.0,45.0,0
25,Wiraswasta,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
50,Wiraswasta,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,1
28,Wiraswasta,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,58.0,0
18,Wiraswasta,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,35.0,0
31,Wiraswasta,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,50.0,0
55,Pekerja Bebas Bukan Perusahan,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,0
27,Wiraswasta,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Perempuan,0.0,0.0,45.0,0
49,Wiraswasta,9th,5,Cerai,Mesin Inspeksi,Perempuan,0.0,0.0,40.0,0
47,Wiraswasta,11th,7,Cerai,Supir,Perempuan,0.0,0.0,40.0,0
45,Wiraswasta,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,1
33,Wiraswasta,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
34,Wiraswasta,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,0
32,Wiraswasta,Sekolah Professional,15,Menikah LDR,Spesialis,Perempuan,0.0,0.0,58.0,1
43,Wiraswasta,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,1
19,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,26.0,0
32,Wiraswasta,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
44,Wiraswasta,Pendidikan Tinggi,10,Cerai,Supir,Laki2,0.0,0.0,40.0,0
33,Pemerintah Lokal,Sarjana,13,Cerai,Penjaga,Perempuan,0.0,0.0,58.0,0
39,Pemerintah Provinsi,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,45.0,0
37,Wiraswasta,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
17,,11th,7,Belum Pernah Menikah,,Laki2,0.0,0.0,26.0,0
56,Pemerintah Provinsi,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
57,Pemerintah Provinsi,Sarjana,13,Menikah,Tech-support,Laki2,0.0,0.0,48.0,1
36,Wiraswasta,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
63,Wiraswasta,10th,6,Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
42,Wiraswasta,Master,14,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,58.0,0
59,Wiraswasta,SMA,9,Menikah,Sales,Laki2,0.0,0.0,40.0,0
35,Wiraswasta,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,58.0,1
20,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0.0,0.0,35.0,0
42,Wiraswasta,Sarjana,13,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
57,Pemerintah Negara,SMA,9,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,50.0,0
43,Pemerintah Provinsi,Master,14,Menikah,Spesialis,Laki2,0.0,0.0,40.0,1
33,Wiraswasta,12th,8,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,35.0,0
45,Pemerintah Lokal,Sarjana,13,Cerai,Penjaga,Laki2,0.0,0.0,40.0,1
29,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,35.0,0
26,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,0
45,Wiraswasta,7th-8th,4,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0.0,0.0,42.0,0
30,Wiraswasta,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,30.0,0
62,Wiraswasta,7th-8th,4,Menikah,Spesialis,Laki2,0.0,0.0,26.0,0
51,Wiraswasta,9th,5,Menikah,Sales,Laki2,0.0,0.0,40.0,0
22,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,26.0,0
21,Wiraswasta,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
31,Wiraswasta,SMA,9,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,0
28,Pemerintah Lokal,Master,14,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,50.0,0
39,Wiraswasta,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
31,Wiraswasta,SMA,9,Belum Pernah Menikah,Pemuka Agama,Laki2,0.0,0.0,40.0,0
35,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,45.0,0
27,Wiraswasta,12th,8,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
18,Pekerja Bebas Perusahaan,11th,7,Belum Pernah Menikah,Petani,Laki2,0.0,0.0,50.0,0
43,Pekerja Bebas Perusahaan,D4,11,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,1
31,Wiraswasta,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,0
57,Wiraswasta,10th,6,Menikah,Supir,Laki2,0.0,0.0,58.0,1
24,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
63,Wiraswasta,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,30.0,0
30,Pemerintah Lokal,Sarjana,13,Menikah,Penjaga,Laki2,0.0,0.0,58.0,1
35,Pekerja Bebas Bukan Perusahan,D3,12,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
44,Pekerja Bebas Bukan Perusahan,Sarjana,13,Menikah,Petani,Laki2,0.0,0.0,58.0,0
30,Wiraswasta,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,32.0,0
29,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,45.0,0
37,Pekerja Bebas Perusahaan,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,50.0,1
29,Pekerja Bebas Bukan Perusahan,7th-8th,4,Menikah,Petani,Laki2,0.0,0.0,58.0,0
23,Wiraswasta,Pendidikan Tinggi,10,Menikah,Sales,Perempuan,0.0,0.0,47.0,0
36,Pemerintah Lokal,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,35.0,1
23,Wiraswasta,Sarjana,13,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,0
35,Pemerintah Provinsi,Pendidikan Tinggi,10,Menikah,Penjaga,Laki2,0.0,0.0,40.0,1
21,Wiraswasta,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,26.0,0
32,Pemerintah Negara,Sekolah Professional,15,Menikah,Spesialis,Laki2,0.0,0.0,58.0,1
